Station,date,Rain,AirTemperature,AtmosphericPressure,Windspeed
M2,5/2/2019 11:00,0,12.6,1016.1,24.05
M2,5/2/2019 12:00,0,13.3,1015.7,26.2
M2,5/2/2019 13:00,0,13.6,1015.6,26.1
M2,5/2/2019 14:00,0,14.5,1015.4,19
M2,5/2/2019 15:00,0,12.9,1015.3,22
M2,5/2/2019 16:00,0.1,14.4,1015,30
M2,5/2/2019 17:00,0,13.6,1015.2,22
M2,5/2/2019 18:00,0,13.1,1015.2,9
M2,5/2/2019 19:00,0.1,12.6,1015.3,7.34
M2,5/2/2019 20:00,0,11,1015.6,6.12
M2,5/2/2019 21:00,0,10.2,1016.3,9
M2,5/2/2019 22:00,0,9.7,1016.6,7
M2,5/2/2019 23:00,0,9.9,1017.2,11
M2,5/3/2019 0:00,0,9,1017,11
M2,5/3/2019 1:00,0,6.8,1017.2,13.217
M2,5/3/2019 2:00,0,7.4,1016.8,9.53
M2,5/3/2019 3:00,0,6.8,1017.1,6.87
M2,5/3/2019 4:00,0,6.4,1017.3,13.45
M2,5/3/2019 5:00,0,6.9,1017.4,11.37
M2,5/3/2019 6:00,0,7.2,1017.5,11.89
M2,5/3/2019 7:00,0,8.4,1017.6,15.091
M2,5/3/2019 8:00,0,8.9,1017.9,15.522
M2,5/3/2019 9:00,0,9.2,1017.7,19.949
M2,5/3/2019 10:00,0,10.8,1017.5,22.237
M2,5/3/2019 11:00,0,10.9,1017.5,22.671
M2,5/3/2019 12:00,0,11,1017.7,26.244
M2,5/3/2019 13:00,0,10.9,1017.7,22.251
M2,5/3/2019 14:00,0,11.5,1018,20.976
M2,5/3/2019 15:00,0,11.2,1018.1,26.532
M2,5/3/2019 16:00,0,10.8,1018.2,19.539
M2,5/3/2019 17:00,0,10.3,1018.3,19.817
M2,5/3/2019 18:00,0,10.6,1018.6,15.522
M2,5/3/2019 19:00,0,9.1,1018.8,26.952
M2,5/3/2019 20:00,0,7.8,1019.3,19.969
M2,5/3/2019 21:00,0,7.3,1019.8,19.098
M2,5/3/2019 22:00,0,5.4,1020.3,22.373
M2,5/3/2019 23:00,0,4.3,1020.8,13
M2,5/4/2019 0:00,0,4.1,1021,19.234
M2,5/4/2019 1:00,0,3.4,1021.1,20.949
M2,5/4/2019 2:00,0,3,1021.4,26.529
M2,5/4/2019 3:00,0,2.6,1021.8,19.532
M2,5/4/2019 4:00,0,2.5,1022.1,22.956
M2,5/4/2019 5:00,0,2.4,1022.9,20.946
M2,5/4/2019 6:00,0,2.8,1023.8,20.227
M2,5/4/2019 7:00,0,3.7,1024.7,19.366
M2,5/4/2019 8:00,0,7.2,1025.4,19.661
M2,5/4/2019 9:00,0,8.4,1026.1,26.091
M2,5/4/2019 10:00,0,8.7,1026.5,24.095
M2,5/4/2019 11:00,0,9.5,1026.9,26.11
M2,5/4/2019 12:00,0,9.9,1027.2,20.939
M2,5/4/2019 13:00,0,10.6,1027.3,19.807
M2,5/4/2019 14:00,0,11.4,1027.4,19.098
M2,5/4/2019 15:00,0,12.1,1027.4,15.963
M2,5/4/2019 16:00,0,11.5,1027.5,17.247
M2,5/4/2019 17:00,0,11.6,1027.8,15.949
M2,5/4/2019 18:00,0,9.7,1028,15.234
M2,5/4/2019 19:00,0,8.7,1028.3,13.373
M2,5/4/2019 20:00,0,6.1,1028.7,9.79
M2,5/4/2019 21:00,0,4,1029.1,7.081
M2,5/4/2019 22:00,0,3.2,1029.3,4.363
M2,5/4/2019 23:00,0,2.7,1029.6,11.793
M2,5/5/2019 0:00,0,2.5,1029.7,13.217
M2,5/5/2019 1:00,0,2.6,1029.7,21.213
M2,5/5/2019 2:00,0,1,1029.6,11.213
M2,5/5/2019 3:00,0,0.8,1029.4,13.79
M2,5/5/2019 4:00,0,1,1029.2,11.79
M2,5/5/2019 5:00,0,1,1029.3,13.64
M2,5/5/2019 6:00,0,2,1029.6,17.647
M2,5/5/2019 7:00,0,4.4,1029.8,19.508
M2,5/5/2019 8:00,0,7.4,1029.5,13.647
M2,5/5/2019 9:00,0,8.4,1029.2,13.512
M2,5/5/2019 10:00,0,8.6,1029.2,19.227
M2,5/5/2019 11:00,0,9.1,1029.2,17.508
M2,5/5/2019 12:00,0,9.7,1028.9,11.23
M2,5/5/2019 13:00,0,10.6,1028.7,15.237
M2,5/5/2019 14:00,0,10.9,1028.2,7.518
M2,5/5/2019 15:00,0,10.6,1027.8,9.095
M2,5/5/2019 16:00,0,11.1,1027.1,11.102
M2,5/5/2019 17:00,0,11.3,1026.6,17.393
M2,5/5/2019 18:00,0,11.3,1026.1,15.247
M2,5/5/2019 19:00,0,10.3,1026.1,9.095
M2,5/5/2019 20:00,0,9.1,1026,11.227
M2,5/5/2019 21:00,0,7.9,1025.9,6.946
M2,5/5/2019 22:00,0,6,1025.6,4.935
M2,5/5/2019 23:00,0,5.6,1025.7,7.932
M2,5/6/2019 0:00,0,6.5,1025.5,9.79
M2,5/6/2019 1:00,0,6.3,1025.3,6.068
M2,5/6/2019 2:00,0,5.5,1024.9,6.356
M2,5/6/2019 3:00,0,4.2,1024.5,7.783
M2,5/6/2019 4:00,0,3.6,1024.2,11.786
M2,5/6/2019 5:00,0,3.8,1023.9,9.071
M2,5/6/2019 6:00,0,5.1,1023.6,9.085
M2,5/6/2019 7:00,0,6.4,1023.3,13.085
M2,5/6/2019 8:00,0,8.4,1023.4,13.793
M2,5/6/2019 9:00,0,9.4,1023.3,17.651
M2,5/6/2019 10:00,0,9.8,1023.1,20.363
M2,5/6/2019 11:00,0,10.5,1022.8,20.807
M2,5/6/2019 12:00,0,11.3,1022.5,20.81
M2,5/6/2019 13:00,0,11.4,1022.2,20.38
M2,5/6/2019 14:00,0,11,1021.8,17.82
M2,5/6/2019 15:00,0,11.1,1021.3,19.112
M2,5/6/2019 16:00,0,12.8,1020.5,17.119
M2,5/6/2019 17:00,0,11.2,1020.1,17.98
M2,5/6/2019 18:00,0,10.6,1019.9,13.414
M2,5/6/2019 19:00,0,10.1,1019.7,15.41
M2,5/6/2019 20:00,0,9,1019.4,11.841
M2,5/6/2019 21:00,0,8.2,1019.2,15.698
M2,5/6/2019 22:00,0,7.5,1018.7,11.695
M2,5/6/2019 23:00,0,7,1018.5,6.261
M2,5/7/2019 0:00,0,6.4,1018.3,11.83
M2,5/7/2019 1:00,0,6.4,1017.9,6.691
M2,5/7/2019 2:00,0,6.7,1017.3,9.268
M2,5/7/2019 3:00,0,6.3,1016.7,7.552
M2,5/7/2019 4:00,0,6.3,1016.1,11.414
M2,5/7/2019 5:00,0,6.6,1015.3,13.271
M2,5/7/2019 6:00,0,6.9,1014.9,6.847
M2,5/7/2019 7:00,0,7.7,1014.6,11.844
M2,5/7/2019 8:00,0,9.2,1014.3,11.559
M2,5/7/2019 9:00,0,10.8,1013.6,10.556
M2,5/7/2019 10:00,0,11.1,1013.1,13.698
M2,5/7/2019 11:00,0,11.7,1012.3,20.841
M2,5/7/2019 12:00,0,12.6,1011.4,12.42
M2,5/7/2019 13:00,0,11.7,1010.6,19.708
M2,5/7/2019 14:00,0,10.6,1010.1,15.142
M2,5/7/2019 15:00,0,11.8,1009.3,17.99
M2,5/7/2019 16:00,0,11.9,1008.3,9.847
M2,5/7/2019 17:00,0,12.1,1007.2,15.132
M2,5/7/2019 18:00,0,11.4,1006.6,13.417
M2,5/7/2019 19:00,0,9.4,1006.2,15.41
M2,5/7/2019 20:00,0,8.3,1005.8,9.844
M2,5/7/2019 21:00,0,7.9,1004.7,9.569
M2,5/7/2019 22:00,0,8,1003.6,9.708
M2,5/7/2019 23:00,0,8.6,1002,11.275
M2,5/8/2019 0:00,0,8.6,1000.5,11.122
M2,5/8/2019 1:00,0,9.1,999.1,9.83
M2,5/8/2019 2:00,0,9.2,997.5,9
M2,5/8/2019 3:00,0,9.5,996.3,11.807
M2,5/8/2019 4:00,0,9.4,995,11.081
M2,5/8/2019 5:00,0.1,8.8,994.1,9.085
M2,5/8/2019 6:00,0.4,8,993.4,7.522
M2,5/8/2019 7:00,0.6,7.8,992.8,8.535
M2,5/8/2019 8:00,0.4,7.8,992.1,9.678
M2,5/8/2019 9:00,0.7,7.7,991.7,7.261
M2,5/8/2019 10:00,1.2,7.6,991.5,4.403
M2,5/8/2019 11:00,0.8,7.7,991.1,9.403
M2,5/8/2019 12:00,0.2,7.9,991.1,15.254
M2,5/8/2019 13:00,0,8.7,991,15.264
M2,5/8/2019 14:00,0,8.3,991.4,15.966
M2,5/8/2019 15:00,0,8.5,991.6,15.546
M2,5/8/2019 16:00,0,8.9,991.7,15.102
M2,5/8/2019 17:00,0.3,8.4,992.1,15.525
M2,5/8/2019 18:00,0,8.3,992.5,13.817
M2,5/8/2019 19:00,0,8.6,992.9,13.969
M2,5/8/2019 20:00,0,8.4,993.7,11.258
M2,5/8/2019 21:00,0,8.1,994.3,11.115
M2,5/8/2019 22:00,0.1,8,994.8,11.98
M2,5/8/2019 23:00,0.2,7.9,995.1,9
M2,5/9/2019 0:00,0,7.8,995.5,8.969
M2,5/9/2019 1:00,0.1,7.6,996,9.681
M2,5/9/2019 2:00,0.5,7.4,996.7,7.963
M2,5/9/2019 3:00,0.1,7.2,997.2,4.813
M2,5/9/2019 4:00,0.1,7.1,997.4,7.529
M2,5/9/2019 5:00,0,7,997.9,12.529
M2,5/9/2019 6:00,0,7.2,998.5,4.102
M2,5/9/2019 7:00,0,7.6,999.1,7.674
M2,5/9/2019 8:00,0,7.8,999.7,6.108
M2,5/9/2019 9:00,0,8.5,1000.1,9.681
M2,5/9/2019 10:00,0,10.1,1000.3,11.827
M2,5/9/2019 11:00,0.5,9.4,1000.9,12.542
M2,5/9/2019 12:00,2.5,8.3,1001.5,13.549
M2,5/9/2019 13:00,0.1,8.7,1001.8,13.837
M2,5/9/2019 14:00,0.3,8.6,1002.2,12.264
M2,5/9/2019 15:00,3.3,7.4,1002.8,13.837
M2,5/9/2019 16:00,2.7,8,1002.9,11.556
M2,5/9/2019 17:00,0,8.6,1002.9,4.414
M2,5/9/2019 18:00,0,8.8,1003.1,13.556
M2,5/9/2019 19:00,0,8.2,1003.6,7.556
M2,5/9/2019 20:00,0,7.2,1004,9.559
M2,5/9/2019 21:00,0,7.5,1004.7,7.559
M2,5/9/2019 22:00,0,7.5,1005.2,2.986
M2,5/9/2019 23:00,0,7.5,1005.4,6.132
M2,5/10/2019 0:00,0,6.4,1005.5,11.275
M2,5/10/2019 1:00,0,5.8,1005.5,11.139
M2,5/10/2019 2:00,0,4.5,1005.5,13.42
M2,5/10/2019 3:00,0,4.6,1005.8,11.997
M2,5/10/2019 4:00,0,3.4,1006.1,13.132
M2,5/10/2019 5:00,0,2.9,1006.3,12.281
M2,5/10/2019 6:00,0,3.9,1006.5,17.705
M2,5/10/2019 7:00,0,6.2,1006.8,17.851
M2,5/10/2019 8:00,0,9,1006.9,19.993
M2,5/10/2019 9:00,0,10.7,1007.1,24.132
M2,5/10/2019 10:00,0,11.4,1007.4,28.844
M2,5/10/2019 11:00,0,11.5,1007.7,37.983
M2,5/10/2019 12:00,0,12.6,1007.6,39.698
M2,5/10/2019 13:00,0,11.3,1007.9,39.275
M2,5/10/2019 14:00,0,10.7,1008.2,35.563
M2,5/10/2019 15:00,0.1,11.6,1008.4,39.271
M2,5/10/2019 16:00,0.3,9.4,1009.1,41.125
M2,5/10/2019 17:00,1.1,10,1009.2,35.122
M2,5/10/2019 18:00,0.2,9.9,1009.6,39.407
M2,5/10/2019 19:00,0,8.7,1010,33.695
M2,5/10/2019 20:00,0,7.7,1010.9,30.983
M2,5/10/2019 21:00,0,6.7,1011.8,32.268
M2,5/10/2019 22:00,0,5.9,1012.4,33.129
M2,5/10/2019 23:00,0,4.8,1013.1,39.841
M2,5/11/2019 0:00,0,3.9,1013.8,32.559
M2,5/11/2019 1:00,0,4.3,1014.8,37.983
M2,5/11/2019 2:00,0,4.4,1015.5,30.83
M2,5/11/2019 3:00,0,3.6,1016.4,28.258
M2,5/11/2019 4:00,0,3.3,1017.6,30.115
M2,5/11/2019 5:00,0,3.4,1018.6,28.407
M2,5/11/2019 6:00,0,4.9,1020,6.976
M2,5/11/2019 7:00,0,6.4,1020.9,30.695
M2,5/11/2019 8:00,0,7.4,1021.9,30.698
M2,5/11/2019 9:00,0,8.8,1022.9,28.129
M2,5/11/2019 10:00,0,11.6,1024,32.837
M2,5/11/2019 11:00,0,12.4,1024.5,7.83
M2,5/11/2019 12:00,0,12.7,1025,28.254
M2,5/11/2019 13:00,0,12.9,1025.9,28.685
M2,5/11/2019 14:00,0,13.7,1026.8,26.258
M2,5/11/2019 15:00,0,13.8,1027.4,26.973
M2,5/11/2019 16:00,0,13.8,1027.9,26.685
M2,5/11/2019 17:00,0,13.5,1028.4,26.4
M2,5/11/2019 18:00,0,13.5,1028.7,20.847
M2,5/11/2019 19:00,0,11.5,1029.5,19.271
M2,5/11/2019 20:00,0,10.8,1030.2,13.997
M2,5/11/2019 21:00,0,9,1031.1,11.275
M2,5/11/2019 22:00,0,6.9,1031.9,4.841
M2,5/11/2019 23:00,0,6.4,1032.2,9.424
M2,5/12/2019 0:00,0,5.3,1033,9.993
M2,5/12/2019 1:00,0,5.1,1033.5,9.708
M2,5/12/2019 2:00,0,4.2,1033.7,15.129
M2,5/12/2019 3:00,0,3,1034,11
M2,5/12/2019 4:00,0,3,1034.4,13.83
M2,5/12/2019 5:00,0,3.8,1034.7,13.115
M2,5/12/2019 6:00,0,6.9,1034.9,11.407
M2,5/12/2019 7:00,0,9.2,1035.3,6.976
M2,5/12/2019 8:00,0,10.9,1035.2,17.41
M2,5/12/2019 9:00,0,13.2,1035.1,15.41
M2,5/12/2019 10:00,0,13.1,1035.4,13.986
M2,5/12/2019 11:00,0,13.7,1035.6,5.98
M2,5/12/2019 12:00,0,14.6,1035.5,15.122
M2,5/12/2019 13:00,0,16.1,1035.4,15.695
M2,5/12/2019 14:00,0,16,1035.4,14.983
M2,5/12/2019 15:00,0,16.4,1035.4,17.99
M2,5/12/2019 16:00,0,18.1,1035.1,11.712
M2,5/12/2019 17:00,0,17.4,1035.1,14.271
M2,5/12/2019 18:00,0,16.5,1035,14.129
M2,5/12/2019 19:00,0,14.6,1035.3,15.275
M2,5/12/2019 20:00,0,11.9,1035.6,13
M2,5/12/2019 21:00,0,10.5,1036.4,15.417
M2,5/12/2019 22:00,0,9.1,1036.9,4.841
M2,5/12/2019 23:00,0,7.6,1036.8,11.275
M2,5/13/2019 0:00,0,9.4,1036.8,9.417
M2,5/13/2019 1:00,0,8.2,1036.8,11.275
M2,5/13/2019 2:00,0,6.7,1036.4,11.99
M2,5/13/2019 3:00,0,6,1036.5,11.119
M2,5/13/2019 4:00,0,6.1,1036.7,8.4
M2,5/13/2019 5:00,0,6.8,1036.9,13.098
M2,5/13/2019 6:00,0,8.8,1037.3,19.664
M2,5/13/2019 7:00,0,12.5,1037.3,19.234
M2,5/13/2019 8:00,0,15.3,1037.6,17.803
M2,5/13/2019 9:00,0,16.2,1037.7,17.664
M2,5/13/2019 10:00,0,17.4,1037.9,22
M2,5/13/2019 11:00,0,17.6,1037.5,28.01
M2,5/13/2019 12:00,0,18.7,1037.3,28.02
M2,5/13/2019 13:00,0,18.3,1036.8,29.793
M2,5/13/2019 14:00,0,18.9,1036.4,28.224
M2,5/13/2019 15:00,0,18.6,1036.1,28.946
M2,5/13/2019 16:00,0,18.5,1036.1,15.234
M2,5/13/2019 17:00,0,17.5,1036,26.803
M2,5/13/2019 18:00,0,16.6,1035.8,24.095
M2,5/13/2019 19:00,0,15,1036,20.786
M2,5/13/2019 20:00,0,13.2,1036.2,17.359
M2,5/13/2019 21:00,0,11.1,1036.5,17.79
M2,5/13/2019 22:00,0,10.6,1036.4,9.108
M2,5/13/2019 23:00,0,9.1,1036.5,9.122
M2,5/14/2019 0:00,0,9.1,1036.4,6.254
M2,5/14/2019 1:00,0,7,1036,6.82
M2,5/14/2019 2:00,0,6.7,1035.3,11.105
M2,5/14/2019 3:00,0,6,1035,11.824
M2,5/14/2019 4:00,0,5,1034.6,7.112
M2,5/14/2019 5:00,0,5.4,1034.3,4.827
M2,5/14/2019 6:00,0,9,1033.9,6.688
M2,5/14/2019 7:00,0,11.9,1033.6,6.691
M2,5/14/2019 8:00,0,13.8,1033.2,9.681
M2,5/14/2019 9:00,0,15.8,1033,4.244
M2,5/14/2019 10:00,0,16.7,1032.6,7.095
M2,5/14/2019 11:00,0,17.2,1032.2,11.095
M2,5/14/2019 12:00,0,16.8,1031.8,6.085
M2,5/14/2019 13:00,0,17.3,1031.6,15.796
M2,5/14/2019 14:00,0,17.9,1031,18.224
M2,5/14/2019 15:00,0,18.1,1030.5,15.803
M2,5/14/2019 16:00,0,18.8,1030,14.664
M2,5/14/2019 17:00,0,18.2,1029.4,15.803
M2,5/14/2019 18:00,0,17.4,1029.2,13.088
M2,5/14/2019 19:00,0,16.5,1028.9,14.522
M2,5/14/2019 20:00,0,13.2,1028.9,7.949
M2,5/14/2019 21:00,0,11.7,1029,6.942
M2,5/14/2019 22:00,0,10.4,1028.9,2.8
M2,5/14/2019 23:00,0,9.7,1028.6,2.942
M2,5/15/2019 0:00,0,8.6,1028.3,4.369
M2,5/15/2019 1:00,0,8.2,1027.9,9.644
M2,5/15/2019 2:00,0,8,1027.4,11.647
M2,5/15/2019 3:00,0,7.7,1027,11.22
M2,5/15/2019 4:00,0,7,1026.6,11.925
M2,5/15/2019 5:00,0,6.6,1026.5,11.203
M2,5/15/2019 6:00,0,9.8,1026.5,11.207
M2,5/15/2019 7:00,0,13.4,1026.2,13.495
M2,5/15/2019 8:00,0,14.3,1025.9,13.918
M2,5/15/2019 9:00,0,15.9,1025.4,19.481
M2,5/15/2019 10:00,0,16.7,1025,20.484
M2,5/15/2019 11:00,0,16.8,1025,19.054
M2,5/15/2019 12:00,0,16.9,1024.6,17.2
M2,5/15/2019 13:00,0,18,1024.4,13.63
M2,5/15/2019 14:00,0,19.1,1023.9,13.491
M2,5/15/2019 15:00,0,19.5,1023.4,17.203
M2,5/15/2019 16:00,0,19.6,1022.9,15.647
M2,5/15/2019 17:00,0,19.3,1022.5,18.508
M2,5/15/2019 18:00,0,19.1,1022,13.091
M2,5/15/2019 19:00,0,16.8,1022.1,19.078
M2,5/15/2019 20:00,0,13.2,1022.4,13.501
M2,5/15/2019 21:00,0,11.9,1022.3,7.932
M2,5/15/2019 22:00,0,9.5,1022,9.918
M2,5/15/2019 23:00,0,8.7,1022.1,13.061
M2,5/16/2019 0:00,0,8.3,1021.9,11.922
M2,5/16/2019 1:00,0,7.5,1021.8,9.491
M2,5/16/2019 2:00,0,7.2,1021.3,13.779
M2,5/16/2019 3:00,0,7.2,1020.9,11.922
M2,5/16/2019 4:00,0,7.2,1020.5,7.786
M2,5/16/2019 5:00,0,7.7,1020.3,9.505
M2,5/16/2019 6:00,0,8.9,1020.4,11.085
M2,5/16/2019 7:00,0,11.4,1020,7.512
M2,5/16/2019 8:00,0,13.1,1019.6,19.078
M2,5/16/2019 9:00,0,14,1019.3,11.932
M2,5/16/2019 10:00,0,14.6,1018.9,13.796
M2,5/16/2019 11:00,0,14.8,1018.6,15.068
M2,5/16/2019 12:00,0,15.2,1018.3,15.508
M2,5/16/2019 13:00,0,16.5,1017.8,13.949
M2,5/16/2019 14:00,0,17.1,1017.2,11.38
M2,5/16/2019 15:00,0,17.1,1016.8,13.807
M2,5/16/2019 16:00,0,15.6,1016.8,11.258
M2,5/16/2019 17:00,0,14,1016.7,19
M2,5/16/2019 18:00,0,13.3,1016.7,17.407
M2,5/16/2019 19:00,0,12.7,1016.6,13.834
M2,5/16/2019 20:00,0,10.9,1016.6,11.129
M2,5/16/2019 21:00,0,9.2,1016.6,7.546
M2,5/16/2019 22:00,0,8.4,1016.5,17.685
M2,5/16/2019 23:00,0,8,1016,7.261
M2,5/17/2019 0:00,0,7.6,1015.9,10.678
M2,5/17/2019 1:00,0,7.7,1015.8,10.108
M2,5/17/2019 2:00,0,10.1,1015.5,7.261
M2,5/17/2019 3:00,0,10,1015.5,11.407
M2,5/17/2019 4:00,0,9.4,1015.5,9.834
M2,5/17/2019 5:00,0,9.5,1015.3,9.264
M2,5/17/2019 6:00,0,10.5,1015.3,9.264
M2,5/17/2019 7:00,0,11.2,1015.3,11.414
M2,5/17/2019 8:00,0,11.3,1015.3,3.559
M2,5/17/2019 9:00,0,11.8,1015.1,15.122
M2,5/17/2019 10:00,0,11.9,1014.8,19.695
M2,5/17/2019 11:00,0.2,10.9,1015,15.258
M2,5/17/2019 12:00,0,10.6,1014.8,17.966
M2,5/17/2019 13:00,0.1,10.6,1014.5,22.685
M2,5/17/2019 14:00,0.1,10.6,1014.2,12.244
M2,5/17/2019 15:00,0.2,11.2,1013.6,18.959
M2,5/17/2019 16:00,0,12.2,1013.3,11.247
M2,5/17/2019 17:00,0,13.9,1012.4,19.247
M2,5/17/2019 18:00,0,13.6,1012.1,13.122
M2,5/17/2019 19:00,0,12.8,1011.9,13.83
M2,5/17/2019 20:00,0,11.5,1011.9,6.691
M2,5/17/2019 21:00,0,10.8,1011.7,17.403
M2,5/17/2019 22:00,0,10.3,1011.4,15.417
M2,5/17/2019 23:00,0,10.1,1010.9,13.241
M2,5/18/2019 0:00,0,9.9,1010.6,19.407
M2,5/18/2019 1:00,0,9.4,1010.3,20.827
M2,5/18/2019 2:00,0,8.9,1010,20.251
M2,5/18/2019 3:00,0,8.5,1009.7,19.824
M2,5/18/2019 4:00,0,8,1009.5,19.674
M2,5/18/2019 5:00,0,8,1009.4,19.817
M2,5/18/2019 6:00,0,8.8,1009.4,17.681
M2,5/18/2019 7:00,0,10.3,1009.2,14.966
M2,5/18/2019 8:00,0,11.7,1009.3,17.268
M2,5/18/2019 9:00,0,12.7,1009.3,13.98
M2,5/18/2019 10:00,0,12.1,1009.4,16.691
M2,5/18/2019 11:00,0,12.8,1009.2,18.258
M2,5/18/2019 12:00,0,12.9,1008.9,13.827
M2,5/18/2019 13:00,0,14,1008.6,16.247
M2,5/18/2019 14:00,0,14,1008.5,11.956
M2,5/18/2019 15:00,0,12.9,1008.5,15.959
M2,5/18/2019 16:00,0.1,11.6,1008.7,10.82
M2,5/18/2019 17:00,0.1,12.5,1008.6,10.963
M2,5/18/2019 18:00,0,12.8,1009,13.834
M2,5/18/2019 19:00,0,12.5,1009.1,14.556
M2,5/18/2019 20:00,0,11.7,1009.5,17.278
M2,5/18/2019 21:00,0,11.4,1009.9,13.702
M2,5/18/2019 22:00,0,10.8,1010.1,13.275
M2,5/18/2019 23:00,0,10.5,1010.4,19.98
M2,5/19/2019 0:00,0,8.6,1010.7,17.132
M2,5/19/2019 1:00,0,8.1,1010.6,14.271
M2,5/19/2019 2:00,0,7.9,1010.8,14.556
M2,5/19/2019 3:00,0,8.3,1010.9,20.691
M2,5/19/2019 4:00,0,8.4,1011,20.691
M2,5/19/2019 5:00,0,8.5,1011.1,20.688
M2,5/19/2019 6:00,0,9.3,1011.4,19.824
M2,5/19/2019 7:00,0,10,1011.8,20.393
M2,5/19/2019 8:00,0,11.1,1012.2,17.397
M2,5/19/2019 9:00,0,12.4,1012.4,13.83
M2,5/19/2019 10:00,0,12.9,1012.4,15.261
M2,5/19/2019 11:00,0,14.4,1012.4,13.268
M2,5/19/2019 12:00,0,14,1012.7,11.702
M2,5/19/2019 13:00,0,14.1,1012.8,11.139
M2,5/19/2019 14:00,0,13.6,1012.8,13.115
M2,5/19/2019 15:00,0.3,12.7,1013,10.108
M2,5/19/2019 16:00,0,13.9,1012.7,11.39
M2,5/19/2019 17:00,0,13.6,1012.9,13.668
M2,5/19/2019 18:00,0,13.6,1013.3,10.535
M2,5/19/2019 19:00,0.4,12,1013.5,10.258
M2,5/19/2019 20:00,0.1,10.9,1013.7,7.261
M2,5/19/2019 21:00,0,9.3,1014.1,6.81
M2,5/19/2019 22:00,0,8,1014.5,6.685
M2,5/19/2019 23:00,0,8.3,1014.6,5.837
M2,5/20/2019 0:00,0,7.3,1014.7,8.827
M2,5/20/2019 1:00,0,6.6,1014.7,8.827
M2,5/20/2019 2:00,0,6,1014.7,7.261
M2,5/20/2019 3:00,0,6.1,1014.7,7.546
M2,5/20/2019 4:00,0,6.6,1014.8,7.83
M2,5/20/2019 5:00,0,7,1015,2.688
M2,5/20/2019 6:00,0.1,7.9,1015.4,4.837
M2,5/20/2019 7:00,0,9.4,1015.7,4.546
M2,5/20/2019 8:00,0,11.2,1015.9,9.397
M2,5/20/2019 9:00,0,12.7,1015.9,6.542
M2,5/20/2019 10:00,0,13.9,1015.9,4.542
M2,5/20/2019 11:00,0,14.6,1015.9,11.976
M2,5/20/2019 12:00,0,14.2,1015.9,13.82
M2,5/20/2019 13:00,0,17,1015.9,13.952
M2,5/20/2019 14:00,0,17.2,1016,19.956
M2,5/20/2019 15:00,0,15.4,1016,19.668
M2,5/20/2019 16:00,0,14.2,1016.3,12.529
M2,5/20/2019 17:00,1.4,13.6,1016.7,13.383
M2,5/20/2019 18:00,0,14.1,1016.9,20.522
M2,5/20/2019 19:00,0,13.4,1017.4,17.813
M2,5/20/2019 20:00,0,12,1017.8,6.108
M2,5/20/2019 21:00,0,9.4,1018.3,5.98
M2,5/20/2019 22:00,0,7.7,1018.7,7.546
M2,5/20/2019 23:00,0,7.6,1019.1,9.681
M2,5/21/2019 0:00,0,6.3,1019.3,13.681
M2,5/21/2019 1:00,0,5.7,1019.5,11.959
M2,5/21/2019 2:00,0,4.9,1019.8,9.674
M2,5/21/2019 3:00,0,4.8,1020,14.807
M2,5/21/2019 4:00,0,3.9,1020,24.098
M2,5/21/2019 5:00,0,3.8,1020.3,20.803
M2,5/21/2019 6:00,0,7.1,1020.5,20.8
